,Price,Category,Beds,Baths,Area,Plot_size,Address,Broker,URL
33,"$444,999",House for sale,3,2,"2,034sqft
2,034 square feet",,"25442 Kowloon Ln, Punta Gorda, FL 33983",Built by D.R. Horton - Southwest Florida,https://www.realtor.com/realestateandhomes-detail/25442-Kowloon-Ln_Punta-Gorda_FL_33983_M93614-50272
34,"$496,990",House for sale,4,3,"2,546sqft
2,546 square feet",,"2388 Clary Sage Dr, Spring Hill, FL 34609",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/2388-Clary-Sage-Dr_Spring-Hill_FL_34609_M91925-26264
35,"$399,995",House for sale,3,2,"1,802sqft
1,802 square feet",,"44323 Panther Dr, Punta Gorda, FL 33982",Built by Toll Brothers,https://www.realtor.com/realestateandhomes-detail/44323-Panther-Dr_Punta-Gorda_FL_33982_M93429-90650
36,"$527,580",House for sale,5,3,"3,316sqft
3,316 square feet",,"38401 Pindos Dr, Dade City, FL 33525",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/38401-Pindos-Dr_Dade-City_FL_33525_M95057-67593
37,"$331,990",House for sale,3,2,"1,589sqft
1,589 square feet",,"34108 Chipping Sparrow Dr, Leesburg, FL 34788",Built by Stanley Martin Homes,https://www.realtor.com/realestateandhomes-detail/34108-Chipping-Sparrow-Dr_Leesburg_FL_34788_M96322-26040
38,"$284,990",House for sale,2,2,"1,614sqft
1,614 square feet",,"4171 NW 44th Cir, Ocala, FL 34482",Built by D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/4171-NW-44th-Cir_Ocala_FL_34482_M98669-46254
39,"$472,480",House for sale,5,3,"2,589sqft
2,589 square feet",,"11984 Hilltop Farms Dr, Dade City, FL 33525",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/11984-Hilltop-Farms-Dr_Dade-City_FL_33525_M93557-89068
40,"$265,990",Townhouse for sale,2,2,"1,565sqft
1,565 square feet",,"5241 NW 43rd Lane Rd, Ocala, FL 34482",Built by D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/5241-NW-43rd-Lane-Rd_Ocala_FL_34482_M93069-60881
41,"$802,670",House for sale,5,4,"3,281sqft
3,281 square feet",,"20243 Oriana Loop, Land O Lakes, FL 34638",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/20243-Oriana-Loop_Land-O-Lakes_FL_34638_M91969-43878
42,"$1,496 - $1,797",For Rent - Apartment,1 - 2,1 - 2,"760 - 1,077 square feet",,"Windrift Apartment Homes, 949 Crowsnest Cir, Orlando, FL 32825",,
43,"$2,295 - $2,914",For Rent - Apartment,1 - 3,1 - 2,"758 - 1,269 square feet",,"Casa Vera, 8881 SW 172nd Ave, Miami, FL 33196",,
44,"$2,000 - $3,620",For Rent - Apartment,Studio - 3,1 - 2,"486 - 1,198 square feet",,"Century Town Center, 8175 NW 107th Ave, Doral, FL 33178",,
45,"$1,801 - $3,328",For Rent - Apartment,1 - 3,1 - 2.5,"900 - 1,545 square feet",,"The Luxe at Boca, 9860 SW 3rd St, Boca Raton, FL 33428",,
46,"$1,712 - $5,046",For Rent - Apartment,Studio - 3,,"558 - 1,613 square feet",,"Novel Midtown, 3730 Midtown Dr, Tampa, FL 33607",,
47,,,,,,,", ",,
48,,,,,,,", ",,
49,,,,,,,", ",,
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,"$802,670",House for sale,5,4,"3,281sqft
3,281 square feet",,"20243 Oriana Loop, Land O Lakes, FL 34638",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/20243-Oriana-Loop_Land-O-Lakes_FL_34638_M91969-43878
63,"$404,990",Condo for sale,3,2.5,"1,379sqft
1,379 square feet",,"4615 Campsite Loop, Orlando, FL 32824",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/4615-Campsite-Loop_Orlando_FL_32824_M96012-22894
64,"$509,990",House for sale,3,2,"1,927sqft
1,927 square feet",,"22 Mahogany Way, Palm Coast, FL 32164",Built by Toll Brothers,https://www.realtor.com/realestateandhomes-detail/22-Mahogany-Way_Palm-Coast_FL_32164_M92630-74010
65,"$589,000",House for sale,4,2,"1,828sqft
1,828 square feet",,"7110 SE Park Trace Ct, Stuart, FL 34997",Built by D.R. Horton - Southeast Florida,https://www.realtor.com/realestateandhomes-detail/7110-SE-Park-Trace-Ct_Stuart_FL_34997_M92215-82612
66,"$659,410",House for sale,5,4,"3,531sqft
3,531 square feet",,"5036 Bromeliad Ave, Wimauma, FL 33598",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/5036-Bromeliad-Ave_Wimauma_FL_33598_M92693-29947
67,"$549,990",House for sale,3,2.5,"2,120sqft
2,120 square feet",,"3024 Mirage Pl, Saint Cloud, FL 34771",Built by David Weekley Homes,https://www.realtor.com/realestateandhomes-detail/3024-Mirage-Pl_Saint-Cloud_FL_34771_M93957-07129
68,"$264,990",Townhouse for sale,2,2,"1,565sqft
1,565 square feet",,"5221 NW 43rd Lane Rd, Ocala, FL 34482",Built by D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/5221-NW-43rd-Lane-Rd_Ocala_FL_34482_M92848-01807
69,"$524,990",House for sale,4,3.5,"2,787sqft
2,787 square feet",,"927 161st St E, Bradenton, FL 34212",Built by D.R. Horton - Sarasota,https://www.realtor.com/realestateandhomes-detail/927-161st-St-E_Bradenton_FL_34212_M92867-10308
70,"$608,708",House for sale,3,2,"2,106sqft
2,106 square feet",,"6416 Saguaro Ct, Port Orange, FL 32128",Built by ICI Homes,https://www.realtor.com/realestateandhomes-detail/6416-Saguaro-Ct_Port-Orange_FL_32128_M94317-47305
71,"$604,990",Condo for sale,3,3,"2,201sqft
2,201 square feet",,"21 Lathan Dr, Ponte Vedra, FL 32081",Built by Toll Brothers,https://www.realtor.com/realestateandhomes-detail/21-Latham-Dr_Ponte-Vedra_FL_32081_M95213-61925
