Price($),Category,Bedrooms,Bathrooms,Area(sqft),Plot_size(sqft),Address,Broker,URL,ZIP,Place_name
472480.0,House,5,3,2589.0,,"11984 Hilltop Farms Dr, Dade City, FL 33525",M/I Homes,https://www.realtor.com/realestateandhomes-detail/11984-Hilltop-Farms-Dr_Dade-City_FL_33525_M93557-89068,33525.0,Dade City
265990.0,Townhouse,2,2,1565.0,,"5241 NW 43rd Lane Rd, Ocala, FL 34482",D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/5241-NW-43rd-Lane-Rd_Ocala_FL_34482_M93069-60881,34482.0,Ocala
802670.0,House,5,4,3281.0,,"20243 Oriana Loop, Land O Lakes, FL 34638",M/I Homes,https://www.realtor.com/realestateandhomes-detail/20243-Oriana-Loop_Land-O-Lakes_FL_34638_M91969-43878,34638.0,Land O Lakes
802670.0,House,5,4,3281.0,,"20243 Oriana Loop, Land O Lakes, FL 34638",M/I Homes,https://www.realtor.com/realestateandhomes-detail/20243-Oriana-Loop_Land-O-Lakes_FL_34638_M91969-43878,34638.0,Land O Lakes
404990.0,Condo,3,2.5,1379.0,,"4615 Campsite Loop, Orlando, FL 32824",M/I Homes,https://www.realtor.com/realestateandhomes-detail/4615-Campsite-Loop_Orlando_FL_32824_M96012-22894,32824.0,Orlando
509990.0,House,3,2,1927.0,,"22 Mahogany Way, Palm Coast, FL 32164",Toll Brothers,https://www.realtor.com/realestateandhomes-detail/22-Mahogany-Way_Palm-Coast_FL_32164_M92630-74010,32164.0,Palm Coast
589000.0,House,4,2,1828.0,,"7110 SE Park Trace Ct, Stuart, FL 34997",D.R. Horton - Southeast Florida,https://www.realtor.com/realestateandhomes-detail/7110-SE-Park-Trace-Ct_Stuart_FL_34997_M92215-82612,34997.0,Stuart
659410.0,House,5,4,3531.0,,"5036 Bromeliad Ave, Wimauma, FL 33598",M/I Homes,https://www.realtor.com/realestateandhomes-detail/5036-Bromeliad-Ave_Wimauma_FL_33598_M92693-29947,33598.0,Wimauma
549990.0,House,3,2.5,2120.0,,"3024 Mirage Pl, Saint Cloud, FL 34771",David Weekley Homes,https://www.realtor.com/realestateandhomes-detail/3024-Mirage-Pl_Saint-Cloud_FL_34771_M93957-07129,34771.0,Saint Cloud
264990.0,Townhouse,2,2,1565.0,,"5221 NW 43rd Lane Rd, Ocala, FL 34482",D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/5221-NW-43rd-Lane-Rd_Ocala_FL_34482_M92848-01807,34482.0,Ocala
524990.0,House,4,3.5,2787.0,,"927 161st St E, Bradenton, FL 34212",D.R. Horton - Sarasota,https://www.realtor.com/realestateandhomes-detail/927-161st-St-E_Bradenton_FL_34212_M92867-10308,34212.0,Bradenton
608708.0,House,3,2,2106.0,,"6416 Saguaro Ct, Port Orange, FL 32128",ICI Homes,https://www.realtor.com/realestateandhomes-detail/6416-Saguaro-Ct_Port-Orange_FL_32128_M94317-47305,32128.0,Port Orange
604990.0,Condo,3,3,2201.0,,"21 Lathan Dr, Ponte Vedra, FL 32081",Toll Brothers,https://www.realtor.com/realestateandhomes-detail/21-Latham-Dr_Ponte-Vedra_FL_32081_M95213-61925,32081.0,Ponte Vedra
369999.0,Condo,3,2.5,1860.0,,"5728 Tripoli Dr, Palmetto, FL 34221",M/I Homes,https://www.realtor.com/realestateandhomes-detail/5728-Tripoli-Dr_Palmetto_FL_34221_M93372-79551,34221.0,Palmetto
358490.0,House,4,3,2001.0,,"8967 Crowned Eagle Dr, Leesburg, FL 34788",Stanley Martin Homes,https://www.realtor.com/realestateandhomes-detail/8967-Crowned-Eagle-Dr_Leesburg_FL_34788_M94291-86411,34788.0,Leesburg
273900.0,House,3,2,1398.0,,"6599 Kettles St, Panama City, FL 32404",D.R. Horton - Panama City East,https://www.realtor.com/realestateandhomes-detail/6599-Kettles-St_Panama-City_FL_32404_M92804-30212,32404.0,Panama City
370294.0,House,3,2.5,1515.0,,"1472 Erin Breeze Ln, Kissimmee, FL 34744",Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/1472-Erin-Breeze-Ln_Kissimmee_FL_34744_M91950-83863,34744.0,Kissimmee
279900.0,House,3,2,1427.0,,"6538 Canley Ct, Panama City, FL 32404",D.R. Horton - Panama City East,https://www.realtor.com/realestateandhomes-detail/6538-Canley-Ct_Panama-City_FL_32404_M91657-51656,32404.0,Panama City
274990.0,House,3,2,1222.0,,"128 Hulett Woods Rd, Palm Coast, FL 32137",D.R. Horton - Jacksonville South,https://www.realtor.com/realestateandhomes-detail/128-Hulett-Woods-Rd_Palm-Coast_FL_32137_M93316-15610,32137.0,Palm Coast
469990.0,Condo,3,2.5,1691.0,,"9249 Gran Teatro Dr, Winter Garden, FL 34787",M/I Homes,https://www.realtor.com/realestateandhomes-detail/9249-Gran-Teatro-Dr_Winter-Garden_FL_34787_M90334-73988,34787.0,Winter Garden
554990.0,House,5,3,2934.0,,"18125 Fattoria Ter, Bradenton, FL 34211",D.R. Horton - Sarasota,https://www.realtor.com/realestateandhomes-detail/18125-Fattoria-Ter_Bradenton_FL_34211_M95706-03744,34211.0,Bradenton
348640.0,Condo,3,2.5,1588.0,,"5417 Tripoli Dr, Palmetto, FL 34221",M/I Homes,https://www.realtor.com/realestateandhomes-detail/5417-Tripoli-Dr_Palmetto_FL_34221_M93421-63797,34221.0,Palmetto
493990.0,House,5,3,2663.0,,"5385 Hayloft Dr, Apopka, FL 32712",D.R. Horton - Orlando South,https://www.realtor.com/realestateandhomes-detail/5385-Hayloft-Dr_Apopka_FL_32712_M92815-94242,32712.0,Apopka
